Name, Min(ns), Max(ns), Avg(ns), p75(ns), p95(ns), p99(ns), p995(ns)
Add 64x64 (Flat Func),undefined,undefined,13650,undefined,undefined,undefined
Add 64x64 (Flat Unrolled),undefined,undefined,206495,undefined,undefined,undefined
Add 64x64 (F64),undefined,undefined,22625,undefined,undefined,undefined
Add 64x64 (F32),undefined,undefined,16445,undefined,undefined,undefined
Add 64x64 (I32),undefined,undefined,13800,undefined,undefined,undefined
Add 64x64 (F64 Flat),undefined,undefined,21515,undefined,undefined,undefined
Add 64x64 (F32 Flat),undefined,undefined,16440,undefined,undefined,undefined
Add 64x64 (I32 Flat),undefined,undefined,13875,undefined,undefined,undefined
Add 64x64 (WASM F64),undefined,undefined,22590,undefined,undefined,undefined
Add 64x64 (WASM SIMD F64),undefined,undefined,21780,undefined,undefined,undefined
Add 64x64 (WASM SIMD F32),undefined,undefined,12835,undefined,undefined,undefined
Add 64x64 (WASM SIMD I32),undefined,undefined,14215,undefined,undefined,undefined
Add 64x64 (WebGL F32),undefined,undefined,791710,undefined,undefined,undefined
Add 64x64 (WebGPU F32),undefined,undefined,3363880,undefined,undefined,undefined
Add 128x128 (Func),undefined,undefined,60690,undefined,undefined,undefined
Add 128x128 (Loop),undefined,undefined,164000,undefined,undefined,undefined
Add 128x128 (Loop Prealloc),undefined,undefined,44455,undefined,undefined,undefined
Add 128x128 (Unrolled),undefined,undefined,898000,undefined,undefined,undefined
Add 128x128 (Unrolled Dynamic),undefined,undefined,921195,undefined,undefined,undefined
Add 128x128 (Flat),undefined,undefined,93765,undefined,undefined,undefined
Add 128x128 (Flat column Major),undefined,undefined,143820,undefined,undefined,undefined
Add 128x128 (Flat Simple),undefined,undefined,80020,undefined,undefined,undefined
Add 128x128 (Flat Func),undefined,undefined,124315,undefined,undefined,undefined
Add 128x128 (Flat Unrolled),undefined,undefined,857550,undefined,undefined,undefined
Add 128x128 (F64),undefined,undefined,74145,undefined,undefined,undefined
Add 128x128 (F32),undefined,undefined,56940,undefined,undefined,undefined
Add 128x128 (I32),undefined,undefined,45870,undefined,undefined,undefined
Add 128x128 (F64 Flat),undefined,undefined,66960,undefined,undefined,undefined
Add 128x128 (F32 Flat),undefined,undefined,56980,undefined,undefined,undefined
Add 128x128 (I32 Flat),undefined,undefined,45870,undefined,undefined,undefined
Add 128x128 (WASM F64),undefined,undefined,80620,undefined,undefined,undefined
Add 128x128 (WASM SIMD F64),undefined,undefined,74330,undefined,undefined,undefined
Add 128x128 (WASM SIMD F32),undefined,undefined,42385,undefined,undefined,undefined
Add 128x128 (WASM SIMD I32),undefined,undefined,50210,undefined,undefined,undefined
Add 128x128 (WebGL F32),undefined,undefined,1169290,undefined,undefined,undefined
Add 128x128 (WebGPU F32),undefined,undefined,3397200,undefined,undefined,undefined
Add 256x256 (Func),undefined,undefined,213755,undefined,undefined,undefined
Add 256x256 (Loop),undefined,undefined,796045,undefined,undefined,undefined
Add 256x256 (Loop Prealloc),undefined,undefined,170095,undefined,undefined,undefined
Add 256x256 (Unrolled),undefined,undefined,3799700,undefined,undefined,undefined
Add 256x256 (Unrolled Dynamic),undefined,undefined,3821800,undefined,undefined,undefined
Add 256x256 (Flat),undefined,undefined,305320,undefined,undefined,undefined
Add 256x256 (Flat column Major),undefined,undefined,654935,undefined,undefined,undefined
Add 256x256 (Flat Simple),undefined,undefined,300925,undefined,undefined,undefined
Add 256x256 (Flat Func),undefined,undefined,539105,undefined,undefined,undefined
Add 256x256 (Flat Unrolled),undefined,undefined,3611890,undefined,undefined,undefined
Add 256x256 (F64),undefined,undefined,262165,undefined,undefined,undefined
Add 256x256 (F32),undefined,undefined,190795,undefined,undefined,undefined
Add 256x256 (I32),undefined,undefined,164700,undefined,undefined,undefined
Add 256x256 (F64 Flat),undefined,undefined,273725,undefined,undefined,undefined
Add 256x256 (F32 Flat),undefined,undefined,185295,undefined,undefined,undefined
Add 256x256 (I32 Flat),undefined,undefined,164070,undefined,undefined,undefined
Add 256x256 (WASM F64),undefined,undefined,324325,undefined,undefined,undefined
Add 256x256 (WASM SIMD F64),undefined,undefined,273135,undefined,undefined,undefined
Add 256x256 (WASM SIMD F32),undefined,undefined,151800,undefined,undefined,undefined
Add 256x256 (WASM SIMD I32),undefined,undefined,164460,undefined,undefined,undefined
Add 256x256 (WebGL F32),undefined,undefined,1831745,undefined,undefined,undefined
Add 256x256 (WebGPU F32),undefined,undefined,3259780,undefined,undefined,undefined
